Image 0, true label: 3, predicted label: 3, accumulative accuracy: 1.0
Image 1, true label: 8, predicted label: 5, accumulative accuracy: 0.5
Image 2, true label: 8, predicted label: 5, accumulative accuracy: 0.3333333333333333
Image 3, true label: 0, predicted label: 5, accumulative accuracy: 0.25
Image 4, true label: 6, predicted label: 8, accumulative accuracy: 0.2
Image 5, true label: 6, predicted label: 5, accumulative accuracy: 0.16666666666666666
Image 6, true label: 1, predicted label: 5, accumulative accuracy: 0.14285714285714285
Image 7, true label: 6, predicted label: 8, accumulative accuracy: 0.125
Image 8, true label: 3, predicted label: 8, accumulative accuracy: 0.1111111111111111
Image 9, true label: 1, predicted label: 8, accumulative accuracy: 0.1
Image 10, true label: 0, predicted label: 5, accumulative accuracy: 0.09090909090909091
Image 11, true label: 9, predicted label: 3, accumulative accuracy: 0.08333333333333333
Image 12, true label: 5, predicted label: 8, accumulative accuracy: 0.07692307692307693
Image 13, true label: 7, predicted label: 8, accumulative accuracy: 0.07142857142857142
Image 14, true label: 9, predicted label: 8, accumulative accuracy: 0.06666666666666667
Image 15, true label: 8, predicted label: 8, accumulative accuracy: 0.125
Image 16, true label: 5, predicted label: 8, accumulative accuracy: 0.11764705882352941
Image 17, true label: 7, predicted label: 8, accumulative accuracy: 0.1111111111111111
Image 18, true label: 8, predicted label: 3, accumulative accuracy: 0.10526315789473684
Image 19, true label: 6, predicted label: 8, accumulative accuracy: 0.1
Image 20, true label: 7, predicted label: 8, accumulative accuracy: 0.09523809523809523
Image 21, true label: 0, predicted label: 8, accumulative accuracy: 0.09090909090909091
Image 22, true label: 4, predicted label: 3, accumulative accuracy: 0.08695652173913043
Image 23, true label: 9, predicted label: 8, accumulative accuracy: 0.08333333333333333
Image 24, true label: 5, predicted label: 5, accumulative accuracy: 0.12
Image 25, true label: 2, predicted label: 5, accumulative accuracy: 0.11538461538461539
Image 26, true label: 4, predicted label: 8, accumulative accuracy: 0.1111111111111111
Image 27, true label: 0, predicted label: 8, accumulative accuracy: 0.10714285714285714
Image 28, true label: 9, predicted label: 8, accumulative accuracy: 0.10344827586206896
Image 29, true label: 6, predicted label: 8, accumulative accuracy: 0.1
Image 30, true label: 6, predicted label: 8, accumulative accuracy: 0.0967741935483871
Image 31, true label: 5, predicted label: 5, accumulative accuracy: 0.125
Image 32, true label: 4, predicted label: 5, accumulative accuracy: 0.12121212121212122
Image 33, true label: 5, predicted label: 8, accumulative accuracy: 0.11764705882352941
Image 34, true label: 9, predicted label: 5, accumulative accuracy: 0.11428571428571428
Image 35, true label: 2, predicted label: 8, accumulative accuracy: 0.1111111111111111
Image 36, true label: 4, predicted label: 5, accumulative accuracy: 0.10810810810810811
Image 37, true label: 1, predicted label: 8, accumulative accuracy: 0.10526315789473684
Image 38, true label: 9, predicted label: 5, accumulative accuracy: 0.10256410256410256
Image 39, true label: 5, predicted label: 5, accumulative accuracy: 0.125
Image 40, true label: 4, predicted label: 8, accumulative accuracy: 0.12195121951219512
Image 41, true label: 6, predicted label: 8, accumulative accuracy: 0.11904761904761904
Image 42, true label: 5, predicted label: 5, accumulative accuracy: 0.13953488372093023
Image 43, true label: 6, predicted label: 8, accumulative accuracy: 0.13636363636363635
Image 44, true label: 0, predicted label: 8, accumulative accuracy: 0.13333333333333333
Image 45, true label: 9, predicted label: 3, accumulative accuracy: 0.13043478260869565
Image 46, true label: 3, predicted label: 3, accumulative accuracy: 0.14893617021276595
